"TIME","RPM","BaroPressure","BoostPressureDesired","BoostPressureActual","BoostFrequencyValveDutyCycle","MassAirFlow","IntakeAirTemperature","AcceleratorPedalPosition","ThrottlePlateAngle","IgnitionRetardCyl1","IgnitionRetardCyl2","IgnitionRetardCyl3","IgnitionRetardCyl4","IgnitionRetardCyl5","IgnitionRetardCyl6","IgnitionTimingAngleOverall","KnockVoltCyl1","KnockVoltCyl2","KnockVoltCyl3","KnockVoltCyl4","KnockVoltCyl5","KnockVoltCyl6","VehicleSpeed","Gear","AirFuelRatioDesired","FuelInjectorOnTime","EGTbank1","EGTbank2","EGTbank1OXS","EGTbank2OXS","OXSVoltS1B1","OXSVoltS1B2","EngineLoadSpecified","EngineLoadCorrectedSpecified","EngineLoadDesired","EngineLoad"
"2253","2745.25","980.1171875","979.375","1051.0546875","0","17.67923828125","71.15","17.445639734493","7.84313725490196","0","0","0","0","0","0","36","4.056","4.056","3.744","2.964","2.73","2.574","70.0401840707938","6","1","2.04","1733.66796875","1733.6328125","505","505",".6",".705","199.459586466165","190.343045112782","19.8778195488722","25.281954887218"
"2323","2742.75","980.1171875","979.4140625","1050.8203125","0","15.45892578125","71.15","17.445639734493","7.84313725490196","0","0","0","0","0","0","38.25","4.368","3.9","3.588","2.886","2.886","2.418","70.0838742327453","6","1","1.86203125","1733.66796875","1733.6328125","505","505",".57",".71","199.459586466165","190.343045112782","19.9013157894737","21.4990601503759"
"2393","2741.5","980.1171875","979.4140625","1048.4765625","0","15.68095703125","71.15","17.085526817731","7.84313725490196","0","0","0","0","0","0","39","4.368","3.744","3.9","2.73","2.886","2.496","70.1227099322578","6","1","1.88328125","1733.66796875","1733.6328125","505","505",".6",".7","199.459586466165","190.366541353383","19.3374060150376","20.4652255639098"
"2463","2737.25","980.1171875","979.4140625","1045.546875","0","14.765078125","71.15","14.7478446631571","7.84313725490196","0","0","0","0","0","0","39.75","4.68","3.9","3.9","2.886","2.964","2.34","70.1227099322578","6","1","1.8115625","1733.66796875","1733.6328125","505","505",".1",".59","199.459586466165","190.366541353383","16.0244360902256","19.9718045112782"
"2533","2733.25","980.1171875","979.4140625","1045.6640625","0","12.65578125","69.8","9.89089799343862","5.88235294117647","0","0","0","0","0","0","36.75","4.68","3.9","3.9","2.886","2.964","2.34","70.1032920825016","6","1","1.68671875","1733.66796875","1733.6328125","505","505",".135",".085","199.459586466165","190.390037593985","12.1240601503759","18.5385338345865"
"2603","2718.25","980.1171875","979.4140625","1045.5078125","0","9.40857421875","69.8","0","5.09803921568628","0","0","0","0","0","0","31.5","4.368","3.588","3.588","2.808","2.808","2.496","70.0838742327453","6","1","1.45296875","1733.66796875","1733.6328125","505","505",".61",".075","199.459586466165","190.413533834586","11.7481203007519","15.1550751879699"
"2673","2730.25","980.1171875","979.4140625","1043.203125","0","9.18654296875","69.8","0","4.70588235294118","0","0","0","0","0","0","26.25","4.368","3.588","3.744","2.964","2.808","2.574","70.0693108454281","6","1","1.3971875","1733.66796875","1733.6328125","505","505",".71",".07","199.436090225564","190.061090225564","11.7481203007519","12.8994360902256"
"2743","2741.5","980.1171875","979.4140625","1040.546875","0","8.35392578125","69.8","0","4.70588235294118","0","0","0","0","0","0","18","4.368","3.588","3.744","2.964","2.808","2.574","70.0159117585984","6","1","1.36796875","1733.66796875","1733.6328125","505","505",".15",".065","199.459586466165","189.990601503759","11.7481203007519","12.0535714285714"
"2814","2732.75","980.1171875","979.453125","1037.734375","0","8.4926953125","69.8","0","4.70588235294118","0","0","0","0","0","0","15.75","4.212","4.056","3.744","3.12","2.73","2.73","70.0159117585984","6","1","1.38921875","1733.66796875","1733.6328125","505","505",".04",".06","199.459586466165","189.967105263158","11.7481203007519","11.5601503759399"
"2884","2726.75","980.1171875","979.453125","1037.578125","0","8.85349609375","69.8","0","4.70588235294118","0","0","0","0","0","0","12.75","4.212","4.056","3.432","3.042","2.886","2.886","69.9916394464031","6","1","1.38921875","1733.66796875","1733.6328125","505","505",".04",".055","199.459586466165","190.037593984962","11.7481203007519","11.4896616541353"
